nearest_places_id,post_id,place_id
381,96,ChIJM5FFbvKipBIRdWugDh577Ao
382,96,ChIJmcQFU8mjpBIRlChkxov5sC0
383,96,ChIJzyCpuvOipBIR81q13eFJsyw
384,96,ChIJMSlpOfGipBIRf5cyHKdpsHg
385,97,ChIJM5FFbvKipBIRdWugDh577Ao
386,97,ChIJmcQFU8mjpBIRlChkxov5sC0
387,97,ChIJzyCpuvOipBIR81q13eFJsyw
388,97,ChIJMSlpOfGipBIRf5cyHKdpsHg
389,98,ChIJOyoByVCipBIR-mZapSxPHY8
390,98,ChIJBTfBbwCjpBIRK-jjm940utc
391,98,ChIJWXpb8PeipBIR9qHIBx1PV4U
392,98,ChIJc0WMe_GipBIRJiU_pUq_bRc
393,99,ChIJOyoByVCipBIR-mZapSxPHY8
394,99,ChIJBTfBbwCjpBIRK-jjm940utc
395,99,ChIJWXpb8PeipBIR9qHIBx1PV4U
396,99,ChIJc0WMe_GipBIRJiU_pUq_bRc
397,100,ChIJOyoByVCipBIR-mZapSxPHY8
398,100,ChIJBTfBbwCjpBIRK-jjm940utc
399,100,ChIJWXpb8PeipBIR9qHIBx1PV4U
400,100,ChIJc0WMe_GipBIRJiU_pUq_bRc
401,101,ChIJOyoByVCipBIR-mZapSxPHY8
402,101,ChIJBTfBbwCjpBIRK-jjm940utc
403,101,ChIJWXpb8PeipBIR9qHIBx1PV4U
404,101,ChIJc0WMe_GipBIRJiU_pUq_bRc
405,102,ChIJOyoByVCipBIR-mZapSxPHY8
406,102,ChIJBTfBbwCjpBIRK-jjm940utc
407,102,ChIJWXpb8PeipBIR9qHIBx1PV4U
408,102,ChIJc0WMe_GipBIRJiU_pUq_bRc
409,103,ChIJ12d3ZlmYpBIRStDXELkkdJE
410,103,ChIJC6CEtf2ipBIRkFQaF95uL1Q
411,103,ChIJNbGKpPyipBIRWOE2AiC82hc
412,103,ChIJa-K8mf6ipBIRY8wAB3EeASc
413,104,ChIJC6CEtf2ipBIRkFQaF95uL1Q
414,104,ChIJa-K8mf6ipBIRY8wAB3EeASc
415,104,ChIJNbGKpPyipBIRWOE2AiC82hc
416,104,ChIJveK7vP6ipBIRiegu-jsxGX8
417,105,ChIJOyoByVCipBIR-mZapSxPHY8
418,105,ChIJWXpb8PeipBIR9qHIBx1PV4U
419,105,ChIJLcelLmmipBIRqmlJrcEfypY
420,105,ChIJ0V6MrPWipBIRKnssXv0o_Y4
421,106,ChIJNbGKpPyipBIRWOE2AiC82hc
422,106,ChIJC6CEtf2ipBIRkFQaF95uL1Q
423,106,ChIJeYwrA_uipBIRtLLknGLSRQA
424,106,ChIJa-K8mf6ipBIRY8wAB3EeASc
425,107,ChIJ1eGKmZOipBIRah43T2Kjn8Q
426,107,ChIJD68YoJWipBIRWzQhzWcsALI
427,107,ChIJKf2c45mipBIRVnRr1lyRhRo
428,107,ChIJ-fL3djWjpBIRxYwgD2lXsgw
429,108,ChIJOyoByVCipBIR-mZapSxPHY8
430,108,ChIJBTfBbwCjpBIRK-jjm940utc
431,108,ChIJWXpb8PeipBIR9qHIBx1PV4U
432,108,ChIJc0WMe_GipBIRJiU_pUq_bRc
433,109,ChIJOyoByVCipBIR-mZapSxPHY8
434,109,ChIJBTfBbwCjpBIRK-jjm940utc
435,109,ChIJWXpb8PeipBIR9qHIBx1PV4U
436,109,ChIJc0WMe_GipBIRJiU_pUq_bRc
437,110,ChIJOyoByVCipBIR-mZapSxPHY8
